groupType,groupName,protocol,initiatingDeviceName,initiatingIpAddress,initiatingPort,serviceName,receivingDeviceName,receivingIpAddress,receivingPort,connectionCount
Assessment,on-prem-collector,TCP,CTXVDA001,10.33.100.222,dynamic,off,LPVHAAP01,10.32.19.126,443,3
Assessment,on-prem-collector,TCP,LCDVPVAP1,10.32.17.30,32960,timewait,WPVAP294,10.33.8.63,80,2
Assessment,on-prem-collector,TCP,LCDVPVAP1,10.32.17.30,43905,on,Unscanned Device,209.132.178.16,443,5
Assessment,on-prem-collector,TCP,LCDVPVAP1,10.32.17.30,dynamic,timewait,LPVZBXAP02,10.33.8.133,10051,9
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,33551,on,Unscanned Device,10.32.19.214,10051,117
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,33667,keepalive,WPVBKP01,10.1.14.61,8595,86
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,39029,on,Unscanned Device,10.32.18.240,28001,119
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,39756,timewait,WPVBKP01,10.1.14.61,8595,504
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,40327,on,WPVBKP01,10.1.14.61,8639,7
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,42480,timewait,WPVAP294,10.33.8.63,80,4
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,47951,probe,WPVBKP01,10.1.14.61,8639,6
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,dynamic,keepalive,WPVBKP01,10.1.14.61,9484,54
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,dynamic,on,Unscanned Device,10.32.18.240,28001,63
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,dynamic,on,Unscanned Device,10.32.19.214,10051,80
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,dynamic,on,WPVBKP01,10.1.14.61,9484,3
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,dynamic,probe,WPVBKP01,10.1.14.61,9484,4
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,dynamic,timewait,LPVZBXAP02,10.33.8.133,10051,10
Assessment,on-prem-collector,TCP,LDFCM01,10.32.32.33,dynamic,timewait,WPVBKP01,10.1.14.61,9484,357
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,33293,on,Unscanned Device,10.32.19.214,10051,124
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,35343,keepalive,WPVBKP01,10.1.14.61,9072,251
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,35343,timewait,WPVBKP01,10.1.14.61,9072,674
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,37086,timewait,WPVAP294,10.33.8.63,80,4
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,37550,off,LPVCMDB02,10.32.35.123,4903,4
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,41505,keepalive,LPVCMDB02,10.32.35.123,4903,1
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,43424,on,Unscanned Device,10.32.18.240,28001,543
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,43884,on,LPVCMDB02,10.32.35.123,4903,1
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,44258,on,WPVBKP01,10.1.14.61,8006,25
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,45892,probe,WPVBKP01,10.1.14.61,8639,2
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,dynamic,keepalive,WPVBKP01,10.1.14.61,9455,179
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,dynamic,off,LPVCMDB02,10.32.35.123,4903,8
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,dynamic,on,LPVCMDB02,10.32.35.123,4903,5
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,dynamic,on,Unscanned Device,10.32.18.240,28001,511
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,dynamic,on,Unscanned Device,10.32.19.214,10051,141
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,dynamic,on,WPVBKP01,10.1.14.61,8595,18
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,dynamic,probe,WPVBKP01,10.1.14.61,8639,3
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,dynamic,timewait,LPVZBXAP02,10.33.8.133,10051,1
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,dynamic,timewait,WPVAP294,10.33.8.63,80,6
Assessment,on-prem-collector,TCP,LDFCM02,10.32.32.32,dynamic,timewait,WPVBKP01,10.1.14.61,9455,695
Assessment,on-prem-collector,UDP,LDFCM02,10.32.32.32,48951,off,MDCSV02,10.32.17.14,53,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,1020,timewait,WPVPT10,10.32.19.248,515,15
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,12000,on,LQVTENABLEAP01,10.32.10.226,9012,147
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,25651,off,WPVEX01,10.32.17.53,25,2
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,26917,on,Unscanned Device,75.2.41.27,443,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,27255,keepalive,LQVHSINTDA19,10.33.1.215,15012,2914
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,27255,off,LQVHSINTDA19,10.33.1.215,15012,2885
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,27750,off,Unscanned Device,99.83.138.230,443,475
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,28214,on,LDFCMDB01,10.32.32.31,1521,789
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,28246,timewait,LDVIBUSDA01,10.32.32.54,3506,3699
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,28354,on,WPVBKP01,10.1.14.61,8006,88
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,28441,off,LDVIBUSDA01,10.32.32.54,3506,3432
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,28666,keepalive,LPFCNRAP01,10.32.35.171,22,2885
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,30399,timewait,Unscanned Device,99.83.138.230,443,191
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,30577,on,LDFCMDB01,10.32.32.31,1521,2296
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,30765,keepalive,WQVDA12,10.32.10.74,15102,3
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,31013,timewait,LQVHSINTDA31,10.33.1.227,14566,372
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,31286,probe,WPVBKP01,10.1.14.61,8639,11
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,32141,off,Unscanned Device,104.21.91.94,80,16
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,32447,off,Unscanned Device,75.2.41.27,443,567
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,34089,on,LDVIBUSDA01,10.32.32.54,3506,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,34262,off,LQVHSINTDA31,10.33.1.227,14566,1732
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,35465,timewait,LQFCNRCDB01,10.32.32.108,1521,77
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,37004,on,LQFCNRCDB01,10.32.32.108,1521,17
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,37037,on,Unscanned Device,10.32.35.28,5051,527
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,37086,timewait,LDVCM02,10.32.32.37,80,535
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,37099,on,LDVIBUSDA01,10.32.32.54,3506,26
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,37974,timewait,LDVCM01,10.32.32.26,9004,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,37979,on,Unscanned Device,10.32.18.240,28001,622
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,38179,timewait,WPVBKP01,10.1.14.61,9394,2832
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,40530,timewait,WPVEX01,10.32.17.53,25,14
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,41456,off,LDVCM02,10.32.32.37,80,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,41664,off,WQVDA12,10.32.10.74,15130,4610
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,42352,off,LDFCMDB01,10.32.32.31,1521,31751
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,42362,keepalive,WQVAP120,10.33.1.158,389,2158
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,42465,timewait,WPVAP294,10.33.8.63,80,6
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,43672,timewait,LPFFETLAP01,10.32.35.80,3506,6
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,43907,on,WQVDA12,10.32.10.74,15060,18
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,44173,timewait,LDFCMDB01,10.32.32.31,1521,4836
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,44553,on,WQVAP98,10.33.1.74,15089,10
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,44901,keepalive,LQFCNRCDB01,10.32.32.108,1521,406
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,45289,timewait,LPFFETLAP01,10.32.35.80,3506,8
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,45659,keepalive,LDFCMDB01,10.32.32.31,1521,796210
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,46084,off,LDFCMDB01,10.32.32.31,1521,806615
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,46382,on,LQVHSINTDA09,10.33.1.202,15100,2
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,46801,on,LQVSIAFAP01,10.33.1.62,13556,12
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,47383,off,LDVCM01,10.32.32.26,9004,2345
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,47383,off,LDVCM01,10.32.32.26,9004,2393
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,47383,on,LDVCM01,10.32.32.26,9004,2
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,47633,timewait,LDFCMDB01,10.32.32.31,1521,4160
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,48193,timewait,Unscanned Device,75.2.41.27,443,197
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,48229,keepalive,LQVHSINTDA09,10.33.1.202,15021,5752
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,48620,keepalive,WPVBKP01,10.1.14.61,8595,442
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,48854,off,LPFFETLAP01,10.32.35.80,3520,2885
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,48854,off,LPFFETLAP01,10.32.35.80,3520,2954
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,48854,on,LPFFETLAP01,10.32.35.80,3520,16
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,48854,on,LPFFETLAP01,10.32.35.80,3520,22
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,48864,on,Unscanned Device,10.32.19.214,10051,158
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,keepalive,LDFCMDB01,10.32.32.31,1521,551026
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,keepalive,LQFCNRCDB01,10.32.32.108,1521,292
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,keepalive,LQVHSINTDA31,10.33.1.227,14566,31
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,keepalive,LQVSIAFAP05,10.32.10.113,35848,47
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,keepalive,LQVSIAFAP05,10.32.10.113,48582,36
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,keepalive,LQVTENABLEAP01,10.32.10.226,41120,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,keepalive,LQVTENABLEAP01,10.32.10.226,dynamic,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,keepalive,WPVBKP01,10.1.14.61,8595,210
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,keepalive,WQVAP120,10.33.1.158,389,726
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,keepalive,WQVDA12,10.32.10.74,15102,8
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,LDFCMDB01,10.32.32.31,1521,557519
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,LDFCMDB01,10.32.32.31,1521,7
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,LDVCM01,10.32.32.26,9004,3314
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,LDVCM01,10.32.32.26,9004,493
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,LDVCM02,10.32.32.37,80,2
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,LDVIBUSDA01,10.32.32.54,3506,2309
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,LDVIBUSDA02,10.32.32.55,3510,2885
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,LQVHSINTDA31,10.33.1.227,14566,1182
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,LQVSIAFAP05,10.32.10.113,35848,2
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,LQVTENABLEAP01,10.32.10.226,42158,2
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,LQVTENABLEAP01,10.32.10.226,dynamic,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,Unscanned Device,10.32.16.21,445,2864
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,Unscanned Device,104.21.91.94,80,2
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,Unscanned Device,75.2.41.27,443,369
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,Unscanned Device,99.83.138.230,443,361
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,off,WQVDA12,10.32.10.74,15000,12204
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LDFCMDB01,10.32.32.31,1521,2872
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LDFCMDB01,10.32.32.31,1521,5292
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LDVCM01,10.32.32.26,9004,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LDVCM02,10.32.32.37,80,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LDVIBUSDA01,10.32.32.54,3506,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LDVIBUSDA01,10.32.32.54,3506,15
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LDVIBUSDA02,10.32.32.55,3510,23
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LPVZBXAP02,10.33.8.133,10051,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LQFCNRCDB01,10.32.32.108,1521,8
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LQVHSINTDA31,10.33.1.227,14566,2
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LQVSIAFAP01,10.33.1.62,13556,6
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LQVTENABLEAP01,10.32.10.226,14769,5
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,LQVTENABLEAP01,10.32.10.226,dynamic,4
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,Unscanned Device,10.32.16.21,445,61
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,Unscanned Device,10.32.18.240,28001,435
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,Unscanned Device,10.32.19.214,10051,109
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,Unscanned Device,10.32.35.28,5051,370
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,Unscanned Device,75.2.41.27,443,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,WPVBKP01,10.1.14.61,9687,45
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,WQVAP98,10.33.1.74,15089,8
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,on,WQVDA12,10.32.10.74,15011,9
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,probe,WPVBKP01,10.1.14.61,9362,3
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,LDFCMDB01,10.32.32.31,1521,2869
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,LDFCMDB01,10.32.32.31,1521,3320
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,LDVCM01,10.32.32.26,9004,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,LDVCM02,10.32.32.37,80,345
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,LDVIBUSDA01,10.32.32.54,3506,2526
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,LPFFETLAP01,10.32.35.80,3506,3
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,LPFFETLAP01,10.32.35.80,3506,4
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,LPVZBXAP02,10.33.8.133,10051,7
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,LQFCNRCDB01,10.32.32.108,1521,46
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,LQVHSINTDA31,10.33.1.227,14566,243
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,LQVSIAFAP05,10.32.10.113,34220,12
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,Unscanned Device,75.2.41.27,443,108
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,Unscanned Device,99.83.138.230,443,120
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,WPVAP294,10.33.8.63,80,6
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,WPVBKP01,10.1.14.61,9922,1906
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,WPVEX01,10.32.17.53,25,1
Assessment,on-prem-collector,TCP,LDFCMAP01,10.32.32.30,dynamic,timewait,WQVDA12,10.32.10.74,15102,1
Assessment,on-prem-collector,TCP6,LDFCMAP01,10.32.32.30,25502,timewait,LDVIBUSDA01,10.32.32.54,3506,3278
Assessment,on-prem-collector,TCP6,LDFCMAP01,10.32.32.30,25687,off,LDVIBUSDA01,10.32.32.54,3506,3421
Assessment,on-prem-collector,TCP6,LDFCMAP01,10.32.32.30,dynamic,off,LDVIBUSDA01,10.32.32.54,3506,2351
Assessment,on-prem-collector,TCP6,LDFCMAP01,10.32.32.30,dynamic,off,LDVIBUSDA02,10.32.32.55,3510,2928
Assessment,on-prem-collector,TCP6,LDFCMAP01,10.32.32.30,dynamic,timewait,LDVIBUSDA01,10.32.32.54,3506,2249
Assessment,on-prem-collector,UDP,LDFCMAP01,10.32.32.30,37421,off,MDCSV01,10.32.17.13,53,1
Assessment,on-prem-collector,UDP,LDFCMAP01,10.32.32.30,dynamic,off,MDCSV01,10.32.17.13,53,1
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,16152,timewait,WPVAP294,10.33.8.63,80,6
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,16618,on,Unscanned Device,10.33.1.214,443,6785
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,17161,off,LDVSAPNFEDA01,10.33.1.233,3872,2403
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,23701,off,Unscanned Device,10.32.35.179,1521,60926
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,23900,timewait,WPVEX01,10.32.17.53,25,56
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,24044,off,Unscanned Device,10.32.35.178,1521,79666
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,24539,on,LPVDBAOEMDA01,10.32.17.213,4903,5
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,24721,on,Unscanned Device,10.32.35.178,1521,2
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,25796,off,WPVEX01,10.32.17.53,25,2
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,28144,timewait,LDVCM03,10.32.10.92,1521,14431
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,28765,off,LDVCM03,10.32.10.92,1521,3
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,32476,timewait,Unscanned Device,10.32.35.179,1521,3
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,35328,timewait,Unscanned Device,10.32.35.178,1521,3
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,37279,keepalive,LDVCM03,10.32.10.92,22,28
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,38387,on,LDVCM03,10.32.10.92,1521,13
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,39012,on,WPVBKP01,10.1.14.61,9687,81
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,41541,off,LPVDBAOEMDA01,10.32.17.213,4903,4
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,41584,on,LDVCM03,10.32.10.92,1521,9
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,44078,probe,WPVBKP01,10.1.14.61,9687,9
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,48140,timewait,LDVCM03,10.32.10.92,1521,20100
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,5666,on,LQVTENABLEAP01,10.32.10.226,1949,55
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,9073,off,WQVAP120,10.33.1.158,389,1135
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,9998,keepalive,LDVCM03,10.32.10.92,22,23
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,keepalive,LDVCM03,10.32.10.92,22,5
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,keepalive,LDVCM03,10.32.10.92,22,7
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,keepalive,WPVBKP01,10.1.14.61,9687,157
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,off,LDVCM03,10.32.10.92,1521,1
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,off,LDVSAPNFEDA01,10.33.1.233,3872,518
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,off,LPVDBAOEMDA01,10.32.17.213,4903,2
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,off,Unscanned Device,10.32.35.178,1521,14880
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,off,Unscanned Device,10.32.35.179,1521,28828
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,off,WPVEX01,10.32.17.53,25,1
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,off,WQVAP120,10.33.1.158,389,426
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,on,LDVCM03,10.32.10.92,1521,3
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,on,LDVCM03,10.32.10.92,1521,4
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,on,LPVDBAOEMDA01,10.32.17.213,4903,2
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,on,Unscanned Device,10.32.18.240,28001,302
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,on,Unscanned Device,10.32.19.214,10051,67
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,on,Unscanned Device,10.33.1.214,443,2874
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,on,WDVAP50,10.32.10.75,10051,1
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,on,WPVBKP01,10.1.14.61,9687,46
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,on,WQVAP120,10.33.1.158,389,1
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,probe,WPVBKP01,10.1.14.61,9687,9
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,timewait,LDVCM03,10.32.10.92,1521,5369
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,timewait,LDVCM03,10.32.10.92,1521,9730
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,timewait,LDVSAPNFEDA01,10.33.1.233,3872,1
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,timewait,LPVZBXAP02,10.33.8.133,10051,334
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,timewait,Unscanned Device,10.32.35.179,1521,2
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,timewait,WPVAP294,10.33.8.63,80,2
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,timewait,WPVBKP01,10.1.14.61,8595,327
Assessment,on-prem-collector,TCP,LDFCMDB01,10.32.32.31,dynamic,timewait,WPVEX01,10.32.17.53,25,17
Assessment,on-prem-collector,TCP6,LDFCMDB01,10.32.32.31,29781,keepalive,LPVDBAOEMDA01,10.32.17.213,4903,9
Assessment,on-prem-collector,TCP6,LDFCMDB01,10.32.32.31,45855,on,LPVDBAOEMDA01,10.32.17.213,4903,2
Assessment,on-prem-collector,TCP6,LDFCMDB01,10.32.32.31,dynamic,keepalive,LPVDBAOEMDA01,10.32.17.213,4903,4
